フォーマット区分,締切年月日,客先口座番号,カード体系区分,カードコード,特約店独自コード,提供先会員コード,提供先会員名称,インタンク区分,実車番・届先,車両・届先名称（カナ）,車両・届先名称,給油ＳＳコード,給油ＳＳ名称,給油日付,給油時刻,カード入力区分,販売形態,レシート番号,商品分類,商品コード,荷姿コード,商品名称,処理区分,値付区分,数量,換算後数量,単価（軽油税込）,単価（軽油税抜）,金額（軽油税込）,金額（軽油税抜）,消費税,合計金額,軽油税,陸運支局部,自動車識別登録番号,車種,車両番号,給油ＳＳ都道府県名,給油ＳＳ市郡区名,給油ＳＳ区町村名,管外区分,高速区分
0001,20250531,584108206874,1,584108206874000      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0000,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,8410730,関東第１　営業２課　　　　　　,20250531,0000,1,4,000000,310,6449,00,洗車関連　　　　　　,3,0,+0000000.00,+0000000.00,+0000000.00,+0000000.00,-00004100,-00004100,-00000410,-00004510,+00000000,　　　　,   ,　,      ,埼玉県　,さいたま市　,大宮区桜木町,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3203825,鹿島屋　関越道下り三芳ＰＡ　　,20250506,1623,0,7,165401,112,0026,00,レギュラー　　　　　,0,1,+0000064.00,+0000064.00,+0000150.50,+0000150.50,+00009632,+00009632,+00000963,+00010595,+00000000,　　　　,   ,　,      ,埼玉県　,入間郡　　　,三芳町　　　,1,1
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250516,1236,0,2,336301,112,0026,00,レギュラー　　　　　,0,1,+0000038.99,+0000038.99,+0000148.50,+0000148.50,+00005790,+00005790,+00000579,+00006369,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250516,1237,0,0,336501,310,7318,00,プラスていねい洗車　,0,0,+0000001.00,+0000001.00,+0000500.00,+0000500.00,+00000455,+00000455,+00000045,+00000500,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250516,1237,0,0,336502,310,6490,00,フルセットコース　　,0,0,+0000001.00,+0000001.00,+0000500.00,+0000500.00,+00000455,+00000455,+00000045,+00000500,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250523,1417,0,0,601701,310,7199,00,セルフ）シャンプー洗,0,1,+0000001.00,+0000001.00,+0000272.70,+0000272.70,+00000272,+00000272,+00000027,+00000299,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250523,1417,0,0,601702,310,6446,00,泡洗浄　　　　　　　,0,0,+0000001.00,+0000001.00,+0000200.00,+0000200.00,+00000182,+00000182,+00000018,+00000200,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0001,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250523,1438,0,2,602501,112,0026,00,レギュラー　　　　　,0,1,+0000053.86,+0000053.86,+0000148.50,+0000148.50,+00007998,+00007998,+00000800,+00008798,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0575,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250506,2217,0,0,682001,130,0216,00,軽油　　　　　　　　,0,1,+0000147.00,+0000147.00,+0000124.70,+0000092.60,+00018330,+00013612,+00001361,+00019691,+00004718,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0575,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250514,2252,0,0,277101,130,0216,00,軽油　　　　　　　　,0,1,+0000115.00,+0000115.00,+0000124.70,+0000092.60,+00014340,+00010649,+00001065,+00015405,+00003691,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
