得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先SSコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,0,20250503,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.11,90.3,11297,1130,4016,4615,5
104,23991,0,20250504,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.26,90.3,11311,1131,4021,178,8
104,23991,0,20250506,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.12,90.3,11298,1130,4016,1300,0
104,23991,0,20250507,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125,90.3,11288,1129,4013,1770,0
104,23991,0,20250510,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.07,90.3,11294,1129,4015,3386,6
104,23991,0,20250511,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,90.3,11290,1129,4013,4680,0
104,23991,0,20250512,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.08,90.3,11295,1130,4015,4528,8
104,23991,0,20250513,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,90.3,11290,1129,4013,4978,8
104,23991,0,20250514,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125,90.3,11288,1129,4013,1175,5
104,23991,0,20250517,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75.04,90.3,6776,678,2409,2233,3
104,23991,0,20250518,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125,90.3,11288,1129,4013,2926,6
104,23991,0,20250519,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.02,90.3,11289,1129,4013,3741,1
104,23991,0,20250520,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.14,90.3,11300,1130,4017,3895,5
104,23991,0,20250521,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75,90.3,6773,677,2408,4356,6
104,23991,0,20250524,877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,90.3,11290,1129,4013,1205,5
