得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,0,0,20250531,0,10104,西関東,8010,消費税１０％　　　　,1,-1,40,-40,99996,1,0,0,0,0,35068501484,350685,関東販売　,ﾆｼｶﾝﾄｳｴｲｷﾞｮｳｼｮｸ     ,65000010,0,0,40,-40,0,-4,10,91010414840000000   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,0,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,0,20250531,0,10104,西関東,8010,消費税１０％　　　　,1,1,40,40,99996,1,0,0,0,0,35068501484,350685,関東販売　,ﾆｼｶﾝﾄｳｴｲｷﾞｮｳｼｮｸ     ,65000010,0,0,40,40,0,0,10,91010414840000000   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,0,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,575,20250524,4,11673,上里下,4410,高速軽油　　　　　　,3,147.12,122.9,18081,15468,1,1075,575,2046,0,35068501484,358552,上里ＳＡ下,ｶﾐｻﾄSAｸﾀﾞﾘﾃﾝ        ,3100000,0,0,90.8,13358,4723,1336,10,91010414842057504   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250501,2,11647,上　武,4410,軽　油　　　　　　　,3,300,122.9,36870,13669,1,8024,1055,1602,0,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,3100000,0,0,90.8,27240,9630,2724,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250504,2,11675,太田強,4410,高速軽油　　　　　　,3,147,122.9,18066,11278,1,7160,1055,301,0,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,3100000,0,0,90.8,13347,4719,1335,10,91010414842105502   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250509,2,11663,小山北,4410,軽　油　　　　　　　,3,251,122.9,30848,10758,1,9349,1055,1253,0,35068501484,351559,小山北　　,ｼﾝ4ｺﾞｳｵﾔﾏﾀﾞｷﾀ       ,3100000,0,0,90.8,22791,8057,2279,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250512,2,11675,太田強,4410,高速軽油　　　　　　,3,300,122.9,36870,13230,1,9170,1055,311,0,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,3100000,0,0,90.8,27240,9630,2724,10,91010414842105502   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250518,2,11663,小山北,4410,軽　油　　　　　　　,3,250,122.9,30725,13771,1,8544,1055,1235,0,35068501484,351559,小山北　　,ｼﾝ4ｺﾞｳｵﾔﾏﾀﾞｷﾀ       ,3100000,0,0,90.8,22700,8025,2270,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250523,2,11647,上　武,4410,軽　油　　　　　　　,3,274,122.9,33675,14635,1,8024,1055,1556,0,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,3100000,0,0,90.8,24880,8795,2488,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1055,20250526,2,11647,上　武,4410,軽　油　　　　　　　,3,311,122.9,38222,16265,1,8024,1055,1557,0,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,3100000,0,0,90.8,28239,9983,2824,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
