得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先ＳＳコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,000,20250401,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,97.60,12203,1220,4013,1476,6,
104,23991,000,20250402,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75.01,97.60,7321,732,2408,1978,8,
104,23991,000,20250405,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.01,97.60,12201,1220,4013,3888,8,
104,23991,000,20250406,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.07,97.60,12207,1221,4015,4541,1,
104,23991,000,20250407,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.02,97.60,12202,1220,4013,0045,5,
104,23991,000,20250408,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.04,97.60,12204,1220,4014,0509,9,
104,23991,000,20250409,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75.04,97.60,7324,732,2409,0977,7,
104,23991,000,20250412,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.02,97.60,12202,1220,4013,2828,8,
104,23991,000,20250413,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.05,97.60,12205,1221,4014,3433,3,
104,23991,000,20250414,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,97.60,12203,1220,4013,0005,5,
104,23991,000,20250415,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.08,97.60,12208,1221,4015,4416,6,
104,23991,000,20250416,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75.40,97.60,7359,736,2420,4891,1,
104,23991,000,20250419,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,97.60,12203,1220,4013,1771,1,
104,23991,000,20250421,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,175.03,97.60,17083,1708,5618,2891,1,
104,23991,000,20250422,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.93,97.60,12291,1229,4042,3353,3,
104,23991,000,20250423,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.08,97.60,12208,1221,4015,0118,8,
104,23991,000,20250426,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.02,97.60,12202,1220,4013,0659,9,
104,23991,000,20250427,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.17,97.60,12217,1222,4018,1275,5,
104,23991,000,20250428,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.03,97.60,12203,1220,4013,1776,6,
104,23991,000,20250429,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,75.05,97.60,7325,733,2409,2356,6,
104,23991,000,20250430,0877,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,125.01,97.60,12201,1220,4013,2847,7,
104,23991,000,20250402,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,199.00,98.60,19621,1962,6388,8535,5,
104,23991,000,20250403,1037,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,175.00,97.60,17080,1708,5618,2429,9,
104,23991,000,20250405,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,161.00,98.60,15875,1588,5168,9629,9,
104,23991,000,20250406,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,170.00,98.60,16762,1676,5457,9869,9,
104,23991,000,20250409,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,175.00,98.60,17255,1726,5618,0903,3,
104,23991,000,20250410,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,154.00,98.60,15184,1518,4943,1263,3,
104,23991,000,20250412,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,161.00,98.60,15875,1588,5168,1944,4,
104,23991,000,20250413,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,171.00,98.60,16861,1686,5489,2159,9,
104,23991,000,20250416,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,180.00,98.60,17748,1775,5778,3222,2,
104,23991,000,20250419,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,171.00,98.60,16861,1686,5489,4227,7,
104,23991,000,20250420,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,152.00,98.60,14987,1499,4879,4449,9,
104,23991,000,20250421,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,175.00,98.60,17255,1726,5618,4812,2,
104,23991,000,20250423,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,201.00,98.60,19819,1982,6452,5495,5,
104,23991,000,20250424,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,157.00,98.60,15480,1548,5040,5900,0,
104,23991,000,20250426,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,164.00,98.60,16170,1617,5264,6647,7,
104,23991,000,20250427,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,164.00,98.60,16170,1617,5264,6918,8,
104,23991,000,20250428,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,160.00,98.60,15776,1578,5136,7229,9,
104,23991,000,20250430,1037,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,190.00,98.60,18734,1873,6099,7908,8,
104,23991,000,20250404,1105,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,68.00,98.60,6705,671,2183,4134,4,
104,23991,000,20250403,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,0914,4,
104,23991,000,20250403,1127,1,,10,219,所沢インターＳＳ　　　,96560,下部洗浄,1.00,200.00,200,20,0,0914,4,
104,23991,000,20250403,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,272.25,97.60,26572,2657,8739,1310,0,
104,23991,000,20250407,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,146.53,97.60,14301,1430,4704,0788,8,
104,23991,000,20250407,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,1618,8,
104,23991,000,20250407,1127,1,,10,219,所沢インターＳＳ　　　,96560,下部洗浄,1.00,200.00,200,20,0,1618,8,
104,23991,000,20250410,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,254.33,97.60,24823,2482,8164,4036,6,
104,23991,000,20250414,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,156.50,97.60,15274,1527,5024,3435,5,
104,23991,000,20250414,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,4719,9,
104,23991,000,20250416,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,2207,7,
104,23991,000,20250417,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,257.07,97.60,25090,2509,8252,1809,9,
104,23991,000,20250421,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,155.44,97.60,15171,1517,4990,1388,8,
104,23991,000,20250421,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,3518,8,
104,23991,000,20250423,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1.00,800.00,800,80,0,0536,6,
104,23991,000,20250423,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,145.37,97.60,14188,1419,4666,3577,7,
104,23991,000,20250429,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,156.71,97.60,15295,1530,5030,4298,8,
104,23991,000,20250402,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,155.00,97.60,15128,1513,4976,5371,1,
104,23991,000,20250405,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,119.00,97.60,11614,1161,3820,6534,4,
104,23991,000,20250409,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,152.26,97.60,14861,1486,4888,7654,4,
104,23991,000,20250413,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,148.53,97.60,14497,1450,4768,1947,7,
104,23991,000,20250413,1151,3,,50,220,上武道路深谷ＳＳ　　　,95780,洗車大型シャンプー（,1.00,727.00,727,73,0,1948,8,
104,23991,000,20250418,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,157.02,97.60,15325,1533,5040,3964,4,
104,23991,000,20250426,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,122.00,97.60,11907,1191,3916,6228,8,
104,23991,000,20250426,1151,3,,50,220,上武道路深谷ＳＳ　　　,95540,洗車作業料（太陽）,1.00,909.00,909,91,0,6229,9,
104,23991,000,20250430,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,150.00,97.60,14640,1464,4815,7079,9,
104,23991,000,20250415,1171,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,89.51,98.60,8826,883,2873,0455,5,
104,23991,000,20250411,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,145.00,97.60,14152,1415,4655,3099,9,
104,23991,000,20250414,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,220.00,97.60,21472,2147,7062,4712,2,
104,23991,000,20250420,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,153.01,97.60,14934,1493,4912,3391,1,
104,23991,000,20250402,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,101.88,97.60,9943,994,3270,2815,5,
104,23991,000,20250403,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,94.01,97.60,9175,918,3018,2218,8,
104,23991,000,20250404,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,92.92,97.60,9069,907,2983,2769,9,
104,23991,000,20250405,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,98.54,97.60,9618,962,3163,3530,0,
104,23991,000,20250407,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,96.22,97.60,9391,939,3089,4818,8,
104,23991,000,20250408,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,91.96,97.60,8975,898,2952,0308,8,
104,23991,000,20250409,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,90.96,97.60,8878,888,2920,0755,5,
104,23991,000,20250410,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,100.25,97.60,9784,978,3218,1237,7,
104,23991,000,20250411,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,86.98,97.60,8489,849,2792,1787,7,
104,23991,000,20250414,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,141.81,97.60,13841,1384,4552,3697,7,
104,23991,000,20250416,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,90.80,97.60,8862,886,2915,4661,1,
104,23991,000,20250417,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,93.20,97.60,9096,910,2992,0179,9,
104,23991,000,20250418,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,89.89,97.60,8773,877,2885,2081,1,
104,23991,000,20250419,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,113.50,97.60,11078,1108,3643,2818,8,
104,23991,000,20250421,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,98.18,97.60,9582,958,3152,4040,0,
104,23991,000,20250422,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,94.62,97.60,9235,924,3037,4529,9,
104,23991,000,20250423,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,94.53,97.60,9226,923,3034,4871,1,
104,23991,000,20250424,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,92.38,97.60,9016,902,2965,4087,7,
104,23991,000,20250425,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,101.04,97.60,9862,986,3243,4596,6,
104,23991,000,20250426,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,94.28,97.60,9202,920,3026,0357,7,
104,23991,000,20250428,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,136.18,97.60,13291,1329,4371,1563,3,
104,23991,000,20250429,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,143.79,97.60,14034,1403,4616,3594,4,
104,23991,000,20250430,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,96.07,97.60,9376,938,3084,2621,1,
104,23991,000,20250403,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,294.00,98.60,28988,2899,9437,4386,6,
104,23991,000,20250405,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,294.00,98.60,28988,2899,9437,0501,1,
104,23991,000,20250406,2027,1,,10,172,ルート４白河給油所　　,13000,軽油,189.00,98.60,18635,1864,6067,1006,6,
104,23991,000,20250410,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,330.00,98.60,32538,3254,10593,2552,2,
104,23991,000,20250412,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,214.00,98.60,21100,2110,6869,4417,7,
104,23991,000,20250413,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,221.00,98.60,21791,2179,7094,4330,0,
104,23991,000,20250417,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,306.00,98.60,30172,3017,9823,1273,3,
104,23991,000,20250418,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,165.00,98.60,16269,1627,5297,2482,2,
104,23991,000,20250422,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,360.00,98.60,35496,3550,11556,4400,0,
104,23991,000,20250424,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,278.00,98.60,27411,2741,8924,0308,8,
104,23991,000,20250426,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,209.00,98.60,20607,2061,6709,1756,6,
104,23991,000,20250427,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,132.00,98.60,13015,1302,4237,2432,2,
104,23991,000,20250410,2711,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,238.00,98.60,23467,2347,7640,7831,1,
104,23991,000,20250422,2711,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,324.00,98.60,31946,3195,10400,1460,0,
104,23991,000,20250420,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,118.00,98.60,11635,1164,3788,1095,5,
104,23991,000,20250428,3215,1,,10,193,ルート４上三川給油所　,13310,軽油（大型セルフ）,73.77,97.60,7200,720,2368,2147,7,
104,23991,000,20250406,3323,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,175.00,98.60,17255,1726,5618,0673,3,
104,23991,000,20250413,3323,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,179.00,98.60,17649,1765,5746,4498,8,
104,23991,000,20250408,3577,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,290.00,98.60,28594,2859,9309,4809,9,
104,23991,000,20250415,3577,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,320.00,98.60,31552,3155,10272,6478,8,
104,23991,000,20250407,3883,1,,10,193,ルート４上三川給油所　,13000,軽油,52.30,98.60,5157,516,1679,3785,5,
104,23991,000,20250410,5015,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,350.00,97.60,34160,3416,11235,1029,9,
104,23991,000,20250421,5015,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,300.01,97.60,29281,2928,9630,4353,3,
104,23991,000,20250421,5123,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,115.00,97.60,11224,1122,3692,2759,9,
104,23991,000,20250402,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,130.00,98.60,12818,1282,4173,5619,9,
104,23991,000,20250405,6005,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,124.00,98.60,12226,1223,3980,4302,2,
104,23991,000,20250408,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126.00,98.60,12424,1242,4045,7471,1,
104,23991,000,20250411,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126.00,98.60,12424,1242,4045,8393,3,
104,23991,000,20250413,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126.00,98.60,12424,1242,4045,8897,7,
104,23991,000,20250417,6005,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,125.00,98.60,12325,1233,4013,7156,6,
104,23991,000,20250419,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,125.00,98.60,12325,1233,4013,0910,0,
104,23991,000,20250423,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,102.00,98.60,10057,1006,3274,2107,7,
104,23991,000,20250426,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,130.00,98.60,12818,1282,4173,3028,8,
104,23991,000,20250429,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126.00,98.60,12424,1242,4045,3782,2,
104,23991,000,20250407,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,249.00,98.60,24551,2455,7993,0223,3,
104,23991,000,20250413,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,180.00,98.60,17748,1775,5778,2179,9,
104,23991,000,20250420,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,180.00,98.60,17748,1775,5778,4466,6,
104,23991,000,20250421,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,86.00,98.60,8480,848,2761,4817,7,
104,23991,000,20250430,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,290.00,98.60,28594,2859,9309,7943,3,
104,23991,000,20250401,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,290.00,98.60,28594,2859,9309,8166,6,
104,23991,000,20250404,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,275.00,98.60,27115,2712,8828,9284,4,
104,23991,000,20250408,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,295.00,98.60,29087,2909,9470,0554,4,
104,23991,000,20250411,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,250.00,98.60,24650,2465,8025,1598,8,
104,23991,000,20250415,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,280.00,98.60,27608,2761,8988,2862,2,
