得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,000,0000,20250531,00,10104,西関東,8010,消費税１０％　　　　,1,      -1.00,      40.00,       -40.00,99996,01,00000,0000,0000,000,35068501484,350685,関東販売　,ﾆｼｶﾝﾄｳｴｲｷﾞｮｳｼｮｸ     ,065000010,00000,00000,      40.00,          -40,            0,           -4,10,="91010414840000000   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,00,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,0000,20250531,00,10104,西関東,8010,消費税１０％　　　　,1,       1.00,      40.00,        40.00,99996,01,00000,0000,0000,000,35068501484,350685,関東販売　,ﾆｼｶﾝﾄｳｴｲｷﾞｮｳｼｮｸ     ,065000010,00000,00000,      40.00,           40,            0,            0,10,="91010414840000000   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,00,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,0575,20250524,04,11673,上里下,4410,高速軽油　　　　　　,3,     147.12,     122.90,     18081.00,15468,01,01075,0575,2046,000,35068501484,358552,上里ＳＡ下,ｶﾐｻﾄSAｸﾀﾞﾘﾃﾝ        ,003100000,00000,00000,      90.80,        13358,         4723,         1336,10,="91010414842057504   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250501,02,11647,上　武,4410,軽　油　　　　　　　,3,     300.00,     122.90,     36870.00,13669,01,08024,1055,1602,000,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,003100000,00000,00000,      90.80,        27240,         9630,         2724,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250504,02,11675,太田強,4410,高速軽油　　　　　　,3,     147.00,     122.90,     18066.00,11278,01,07160,1055,0301,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        13347,         4719,         1335,10,="91010414842105502   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250509,02,11663,小山北,4410,軽　油　　　　　　　,3,     251.00,     122.90,     30848.00,10758,01,09349,1055,1253,000,35068501484,351559,小山北　　,ｼﾝ4ｺﾞｳｵﾔﾏﾀﾞｷﾀ       ,003100000,00000,00000,      90.80,        22791,         8057,         2279,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250512,02,11675,太田強,4410,高速軽油　　　　　　,3,     300.00,     122.90,     36870.00,13230,01,09170,1055,0311,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        27240,         9630,         2724,10,="91010414842105502   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250518,02,11663,小山北,4410,軽　油　　　　　　　,3,     250.00,     122.90,     30725.00,13771,01,08544,1055,1235,000,35068501484,351559,小山北　　,ｼﾝ4ｺﾞｳｵﾔﾏﾀﾞｷﾀ       ,003100000,00000,00000,      90.80,        22700,         8025,         2270,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250523,02,11647,上　武,4410,軽　油　　　　　　　,3,     274.00,     122.90,     33675.00,14635,01,08024,1055,1556,000,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,003100000,00000,00000,      90.80,        24880,         8795,         2488,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250526,02,11647,上　武,4410,軽　油　　　　　　　,3,     311.00,     122.90,     38222.00,16265,01,08024,1055,1557,000,35068501484,349199,上武国道　,ｼﾞﾖｳﾌﾞｺｸﾄﾞｳCS       ,003100000,00000,00000,      90.80,        28239,         9983,         2824,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1055,20250530,02,11668,五　霞,4410,軽　油　　　　　　　,3,     300.00,     122.90,     36870.00,11905,01,03213,1055,1132,000,35068501484,353762,五　霞　　,ｺﾞｶｲﾝﾀｰﾃﾝ           ,003100000,00000,00000,      90.80,        27240,         9630,         2724,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250504,03,11675,太田強,4410,高速軽油　　　　　　,3,     295.00,     122.90,     36256.00,11459,01,06712,1101,1610,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        26786,         9470,         2679,10,="91010414842110103   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250508,03,11675,太田強,4410,高速軽油　　　　　　,3,     321.00,     122.90,     39451.00,12498,01,03193,1101,1504,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        29147,        10304,         2915,10,="91010414842110103   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
